id,Tweet,time,Opinion
1,"@cis_india: While there has been considerable focus on AarogyaSetu, several state governments have launched their own COVID19Apps. Pal…",Tue Jul 14 23:14:42 +0000 2020,Neutral
2,@NearForm: Get the story behind the creation of Ireland's COVIDTracker app and see why collaboration was the key to the app's unprecede…,Tue Jul 14 23:08:29 +0000 2020,Neutral
3,@NearForm: Get the story behind the creation of Ireland's COVIDTracker app and see why collaboration was the key to the app's unprecede…,Tue Jul 14 23:08:26 +0000 2020,Neutral
4,@robertscanlon15: Guy in mid 20s rang me today. He inputted new onset symptoms into his  CovidTracker and rang me immediately to get te…,Tue Jul 14 21:33:23 +0000 2020,Neutral
5,"@LukePField: COVID19Ireland update, 14 July:

25,670 (+32) total cases.

Thankfully, for the third day, no new coronavirus-related deat…",Tue Jul 14 19:32:05 +0000 2020,Neutral
6,"@Hanaweb11: Need whatsapp bulk software??
CovidTracker
business Analytics DigitalMarketing institutions ht…",Tue Jul 14 19:17:12 +0000 2020,Neutral
7,"Need whatsapp bulk software??
CovidTracker
business Analytics DigitalMarketing… ",Tue Jul 14 19:16:07 +0000 2020,Neutral
8,"@cis_india: While there has been considerable focus on AarogyaSetu, several state governments have launched their own COVID19Apps. Pal…",Tue Jul 14 18:54:19 +0000 2020,Neutral
9,@NearForm: Get the story behind the creation of Ireland's COVIDTracker app and see why collaboration was the key to the app's unprecede…,Tue Jul 14 18:34:59 +0000 2020,Neutral
10,@kathycordayusa: Words to see by...Sometimes you’ve got to tell it like it is to make your point. People seem to always prefer a Hero t…,Tue Jul 14 18:33:07 +0000 2020,Neutral
11,Get the story behind the creation of Ireland's COVIDTracker app and see why collaboration was the key to the app's… ,Tue Jul 14 18:29:59 +0000 2020,Neutral
12,@rickbrunner: Reporting on percent positive COVID19 cases skewed way high ...Covid_19  Floridacoronavirus COVID COVID__19  COVID19…,Tue Jul 14 18:29:42 +0000 2020,Neutral
13,Reporting on percent positive COVID19 cases skewed way high ...Covid_19  Floridacoronavirus COVID COVID__19… ,Tue Jul 14 18:29:41 +0000 2020,Neutral
14,Reporting on percent positive COVID19 cases skewed way high ...Covid_19  Floridacoronavirus COVID COVID__19… ,Tue Jul 14 18:26:35 +0000 2020,Neutral
15,"COVID19Ireland update, 14 July:

25,670 (+32) total cases.

Thankfully, for the third day, no new coronavirus-rela… ",Tue Jul 14 18:03:43 +0000 2020,Neutral
16,@fcerullo: Have you installed the CovidTracker app? HSE,Tue Jul 14 18:00:40 +0000 2020,Neutral
17,Guy in mid 20s rang me today. He inputted new onset symptoms into his  CovidTracker and rang me immediately to get… ,Tue Jul 14 17:55:23 +0000 2020,Neutral
18,"@cheryl1492: Anyone think the Fed roadblock is do to lack of kickbacks to Trudeau, and friends? Just what is the relationship Trudeau ha…",Tue Jul 14 17:54:10 +0000 2020,Neutral
19,"Anyone think the Fed roadblock is do to lack of kickbacks to Trudeau, and friends? Just what is the relationship Tr… ",Tue Jul 14 17:12:10 +0000 2020,Neutral
20,"@DHSCgovuk @PHE_uk Rnumber at 1.08

coronavirus coronavirusuk coronavirusUSA… ",Tue Jul 14 16:54:22 +0000 2020,Neutral
21,"@cis_india: While there has been considerable focus on AarogyaSetu, several state governments have launched their own COVID19Apps. Pal…",Tue Jul 14 16:53:31 +0000 2020,Neutral
22,"Get the latest info about Covid-19 with breaking news, analysis, and interactive maps
",Tue Jul 14 16:15:42 +0000 2020,Positive
23,"Have you seen the COVID Tracker app, released recently by the government?

Using the COVIDTracker app along with t… ",Tue Jul 14 15:01:35 +0000 2020,Neutral
24,"@cis_india: All the COVID19Apps by state governments that were studied collect data beyond the scope of their intended purpose, and non…",Tue Jul 14 14:27:31 +0000 2020,Neutral
25,Thinking of Traveling in the U.S.? These States Have Travel Restrictions ,Tue Jul 14 14:26:47 +0000 2020,Neutral
26,@GTSciences: What are the odds? Explore a new county-level calculator that estimates the daily risk of one or more individuals infected…,Tue Jul 14 13:56:15 +0000 2020,Neutral
