,id,Tweet,location,time,polarity,subjectivity,opinion
0,1,"Over 11 lakh cases, human trials of Indian experimental vaccine begin, southern states show spike. Track all the ke… https://t.co/THfKyp6NB4",India,Mon Jul 20 07:26:36 +0000 2020,0.03333333333333333,0.16666666666666666,Positive
1,2,"Now that in some parts of the world the first phase of the Covid-19 seems to be over, the focus is shifting. We can… https://t.co/TLJhBKyvzo",,Mon Jul 20 06:48:33 +0000 2020,0.25,0.3333333333333333,Positive
2,3,"Avoid Humans, A Web App That Helps Users Avoid Other People Using Foursquare and Instagram Data.

#ux #uxbranding… https://t.co/xHCcKFwlQK",Zúrich,Mon Jul 20 06:40:43 +0000 2020,0.0,0.0,Neutral
3,4,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/DGsZB5jgxr","Washington, DC",Mon Jul 20 06:02:00 +0000 2020,0.0,0.0,Neutral
4,5,Covid tracker #covidtracker @ Dunshaughlin https://t.co/erYPtmByz2,"Drumree, Co. Meath, Ireland",Sun Jul 19 17:55:45 +0000 2020,0.0,0.0,Neutral
5,6,Covid tracker #covidtracker @ Dunshaughlin https://t.co/d7OpPB4aiM,"Drumree, Co. Meath, Ireland",Sun Jul 19 17:55:17 +0000 2020,0.0,0.0,Neutral
6,7,"#COVID19Ireland update, 19 July:

25,760 (+10) total cases.

Thankfully, there are no new reported deaths from coro… https://t.co/hU5rWUu42n",Ireland,Sun Jul 19 17:40:13 +0000 2020,0.06818181818181818,0.6022727272727273,Positive
7,8,"@DHSCgovuk @PHE_uk #Rnumber unchanged at 1.02

https://t.co/2YyKJaIHW1

#coronavirus #coronavirusuk #coronavirusUSA… https://t.co/qNkCkYi08i",,Sun Jul 19 16:18:23 +0000 2020,0.0,0.0,Neutral
8,9,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/V8WZFYpL04","Washington, DC",Sun Jul 19 15:02:00 +0000 2020,0.0,0.0,Neutral
9,10,The COVID Tracker app will help the fight against coronavirus. Play your part in slowing the spread. We’ll protect… https://t.co/0ikktEyuU3,Ireland,Sun Jul 19 09:30:26 +0000 2020,0.0,0.0,Neutral
10,11,"Great piece with @coddmeister
by @emmetjryan on #covidtracker this weekend in the  business post. I'm also devourin… https://t.co/Lhh7hSJXc7",Dublin Ireland,Sun Jul 19 09:20:24 +0000 2020,0.8,0.75,Very Positive
11,12,#blacktwitter #CovidTracker I’m surprised that no one is taking About the new tracker installed on your cell phone https://t.co/I87ByC14Pi,,Sat Jul 18 22:19:34 +0000 2020,0.11818181818181818,0.6772727272727272,Positive
12,13,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/FoVS2z1azW","Washington, DC",Sat Jul 18 21:01:00 +0000 2020,0.0,0.0,Neutral
13,14,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/Ak2A3I4aZr","Washington, DC",Sat Jul 18 18:01:00 +0000 2020,0.0,0.0,Neutral
14,15,"#COVID19Ireland update, 18 July:

25,750 (+21) total cases.

Sadly, another two people with coronavirus have died.… https://t.co/gGThHkHzON",Ireland,Sat Jul 18 17:36:11 +0000 2020,-0.25,0.875,Negative
15,16,@nealerichmond @OireachtasNews @HSELive @roinnslainte @merrionstreet Who ever put it together seems to have skipped… https://t.co/pmSqRVe5z5,"London, United Kingdom ",Sat Jul 18 14:45:36 +0000 2020,0.0,0.0,Neutral
16,17,"#CovidTracker Trend charts showing Date-wise and State-wise #COVID19India spread of the virus. 

https://t.co/tndX9Dd7BG",Pan-India,Sat Jul 18 07:44:10 +0000 2020,0.0,0.0,Neutral
17,18,"Question for anyone using the #CovidTracker app
in Ireland. Anyone else keep getting messages that they don’t have… https://t.co/mLe3qqZUM9",Dublin,Sat Jul 18 07:42:10 +0000 2020,0.0,0.0,Neutral
18,19,Covid tracker #covidtracker @ Dunshaughlin https://t.co/Fu1TgllfRC,"Drumree, Co. Meath, Ireland",Sat Jul 18 05:44:02 +0000 2020,0.0,0.0,Neutral
19,20,I forgot to do yesterday 😭 #ocd #covidtracker @ Dunshaughlin https://t.co/25NsRGLTaZ,"Drumree, Co. Meath, Ireland",Sat Jul 18 05:43:24 +0000 2020,0.0,0.0,Neutral
20,21,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/3hhaOw5zP1","Washington, DC",Sat Jul 18 00:01:00 +0000 2020,0.0,0.0,Neutral
21,22,"And you don't think this whole #COVID19 is not likely to be used to infringe on your rights and liberties? 

Sugges… https://t.co/8qFriUL4CL",The Interwebs ,Fri Jul 17 22:13:54 +0000 2020,0.1,0.7,Positive
22,23,"While we work on appraising and summarizing newer #COVID drug trials, here is an older one looking at… https://t.co/Tbm7pJrk3o",Canada,Fri Jul 17 21:34:04 +0000 2020,0.16666666666666666,0.3333333333333333,Positive
23,24,Anyone know how to remove the Covid Tracker from a Note 10?  The app is taking all of my mother's data and I'm the… https://t.co/EsQaZEqSGU,United States,Fri Jul 17 20:14:36 +0000 2020,0.0,0.0,Neutral
24,25,"#COVID19Ireland update, 17 July:

25,730 (+34) total cases.

Sadly, another three people with coronavirus have died… https://t.co/luq21ufffY",Ireland,Fri Jul 17 17:23:04 +0000 2020,-0.25,0.875,Negative
25,26,The #CovidTracker app will help us to protect each other and slow the spread of #coronavirus #COVID19 in Ireland.… https://t.co/bI8pYjKBrZ,"Greystones, Ireland",Fri Jul 17 16:00:41 +0000 2020,-0.30000000000000004,0.39999999999999997,Negative
26,27,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/rjEQOQqAdE","Washington, DC",Fri Jul 17 15:40:56 +0000 2020,0.0,0.0,Neutral
27,28,What difficulties limit government aid during Covid-19? #Covid19Tracker data shows Rwanda experiences the least dif… https://t.co/5wZuiKallG,Johannesburg,Fri Jul 17 13:00:02 +0000 2020,-0.3,0.4,Negative
28,29,"India has conducted 13,073,718 tests in India till 17th July 2020.

Tracking ten Indian states/UT's that have condu… https://t.co/HIyRc1ov7O",India,Fri Jul 17 12:10:23 +0000 2020,0.0,0.0,Neutral
29,30,"The 10 countries that have recorded highest #COVID19 cases in the world. 

India, with 1,009,406 confirmed #COVID19… https://t.co/FXCpVqY9ru",India,Fri Jul 17 12:08:21 +0000 2020,0.4,1.0,Positive
30,31,"Confirmed #COVID19 cases of top 10 African countries.

#DailyUpdates

For more facts, figures and perspectives from… https://t.co/PU0vbr2Eee",India,Fri Jul 17 12:06:18 +0000 2020,0.3,0.5,Positive
31,32,"#DailyUpdates 

#COVID19 cases in #Africa  

Region wise confirmed #COVID19 cases in Africa are:

▶ #NorthAfrica 13… https://t.co/BRZjzJxK7A",India,Fri Jul 17 12:05:43 +0000 2020,0.55,0.95,Very Positive
